Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
Thairo Estrada,6,2019,2024,0,432,1565,1444,206,375,67,5,47,180,51,15,76,311,.260,.310,.411,.721,5.42,"Feb 22, 1996","Apr 21, 2019","Bejuma, Carabobo",*46H/75D98
Freddy Fermin,3,2022,2024,0,107,347,322,40,90,16,1,10,43,0,1,20,72,.280,.321,.429,.749,2.73,"May 16, 1995","Jul 15, 2022","Puerto Ordaz, Bolivar",2/HD
Jesús Flores,5,2007,2012,0,311,1014,937,84,226,48,4,23,127,1,4,58,238,.241,.289,.375,.663,0.91,"Oct 26, 1984","Apr 4, 2007","Carupano, Sucre",2H
Ramón Flores,3,2015,2017,0,119,331,289,21,59,9,0,2,20,3,0,31,63,.204,.281,.256,.537,-1.66,"Mar 26, 1992","May 30, 2015","Barinas, Barinas",9/8H73
Wilmer Flores,12,2013,2024,0,1192,4174,3799,469,995,199,5,151,525,5,3,290,572,.262,.318,.436,.754,10.29,"Aug 6, 1991","Aug 6, 2013","Valencia, Carabobo",*345H6D
Wilmer Font,6,2012,2020,0,27,6,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,-0.05,"May 24, 1990","Sep 18, 2012","La Guaira, La Guaira",1
Enderson Franco,1,2019,2019,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.12,"Dec 29, 1992","Sep 18, 2019","Anaco, Anzoategui",/1
Alejandro Freire,1,2005,2005,0,25,72,65,7,16,3,0,1,4,0,0,6,17,.246,.319,.338,.658,-0.26,"Aug 23, 1974","Aug 9, 2005","Caracas, Distrito Federal",/3D7H
Andrés Galarraga,19,1985,2004,5,2257,8916,8096,1195,2333,444,32,399,1425,128,81,583,2003,.288,.347,.499,.846,31.69,"Jun 18, 1961","Aug 23, 1985","Caracas, Distrito Federal",*3HD/5
Armando Galarraga,6,2007,2012,0,18,36,31,2,0,0,0,0,1,0,0,3,16,.000,.088,.000,.088,2.46,"Jan 15, 1982","Sep 15, 2007","Cumana, Sucre",1
Freddy Galvis,10,2012,2021,0,1102,4238,3921,436,966,171,27,109,426,57,21,241,853,.246,.292,.387,.680,9.56,"Nov 14, 1989","Apr 5, 2012","Punto Fijo, Falcon",*64H5/7D38
Víctor Gárate,1,2009,2009,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.17,"Sep 25, 1984","Sep 5, 2009","Maracay, Aragua",/1
Rich Garcés,10,1990,2002,0,32,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,4.72,"May 18, 1971","Sep 18, 1990","Maracay, Aragua",1
Avisaíl García,13,2012,2024,1,1104,4298,3949,496,1038,154,17,140,524,51,32,262,1038,.263,.316,.417,.733,9.28,"Jun 12, 1991","Aug 31, 2012","Anaco, Anzoategui",*9D8H/7
Carlos García,10,1990,1999,1,610,2359,2178,274,580,102,17,33,197,73,33,115,340,.266,.307,.374,.682,1.00,"Oct 15, 1967","Sep 20, 1990","Tachira, Tachira",*46/H5D3
Freddy García,15,1999,2013,2,39,99,77,1,12,2,0,0,4,0,0,2,26,.156,.175,.182,.357,34.18,"Oct 6, 1976","Apr 7, 1999","Caracas, Distrito Federal",*1/H
Harvey García,1,2007,2007,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.13,"Mar 16, 1984","Sep 3, 2007","Caracas, Distrito Federal",/1
Luis Garcia,4,2020,2023,0,3,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,4.58,"Dec 13, 1996","Sep 4, 2020","Bolivar, Bolivar",1
Maikel Garcia,3,2022,2024,0,192,812,737,100,200,33,7,9,87,37,7,58,165,.271,.321,.372,.693,2.62,"Mar 3, 2000","Jul 15, 2022","La Sabana, Vargas",5/6D4H
Miguel García,3,1987,1989,0,13,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,-0.81,"Apr 3, 1967","Apr 30, 1987","Caracas, Distrito Federal",/1
Ramón García,3,1991,1997,0,40,45,36,2,4,2,0,0,5,0,0,0,13,.111,.132,.167,.298,-0.29,"Feb 9, 1969","May 31, 1991","Guanare, Portuguesa",1
Rosman García,2,2003,2004,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.39,"Jan 3, 1979","Apr 19, 2003","Maracay, Aragua",1
Gus Gil,4,1967,1971,0,221,538,468,46,87,16,0,1,37,5,0,56,63,.186,.272,.226,.499,-1.26,"Apr 19, 1939","Apr 11, 1967","Caracas, Distrito Federal",4H5/63
Andrés Giménez,5,2020,2024,1,471,1758,1572,221,417,75,11,44,192,78,13,95,343,.265,.332,.411,.743,16.22,"Sep 4, 1998","Jul 24, 2020","Barquisimeto, Lara",*46/H5D
Héctor Giménez,4,2006,2013,0,37,100,88,9,19,4,0,2,11,0,0,7,29,.216,.280,.330,.610,0.37,"Sep 28, 1982","Sep 25, 2006","San Felipe, Yaracuy",/2HD79
José Godoy,2,2021,2022,0,26,62,57,5,7,1,0,0,4,0,0,5,23,.123,.194,.140,.334,-0.39,"Oct 13, 1994","May 21, 2021","Maracaibo, Zulia",/2DH
Jeanmar Gómez,10,2010,2019,0,219,20,19,0,3,0,0,0,0,0,0,0,11,.158,.158,.158,.316,-0.03,"Feb 10, 1988","Jul 18, 2010","Caracas, Distrito Federal",*1
Yoendrys Gómez,2,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.09,"Oct 15, 1999","Sep 28, 2023",Nirgua,/1
Alberto González,7,2007,2013,0,426,1023,950,97,227,46,7,4,91,2,5,45,130,.239,.275,.315,.590,-0.87,"Apr 18, 1983","Sep 1, 2007","Maracaibo, Zulia",46H5/3D971
Álex González,16,1998,2014,1,1609,6248,5776,667,1418,332,31,157,690,30,22,300,1168,.245,.290,.395,.685,9.36,"Feb 15, 1977","Aug 25, 1998","Cagua, Aragua",*6H/35
Alfredo González,1,2018,2018,0,3,9,9,0,1,0,0,0,1,0,0,0,4,.111,.111,.111,.222,-0.13,"Jul 13, 1992","May 26, 2018","Santa Teresa del Tuy, Miranda",/2
Carlos González,12,2008,2019,3,1377,5551,5033,821,1432,302,40,234,785,122,33,448,1240,.285,.343,.500,.843,24.40,"Oct 17, 1985","May 30, 2008","Maracaibo, Zulia",*9*78H/D
Enrique González,6,2006,2011,0,30,35,32,3,9,1,0,0,3,0,0,0,8,.281,.281,.313,.594,0.00,"Jul 14, 1982","May 28, 2006","Ciudad Bolivar, Bolivar",1/H
Geremi González,6,1997,2006,0,66,108,86,2,10,1,0,0,3,0,0,4,28,.116,.156,.128,.283,2.08,"Jan 8, 1975","May 27, 1997","Maracaibo, Zulia",1/H
Germán González,2,1988,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.24,"Mar 7, 1962","Aug 5, 1988","Rio Caribe, Sucre",1
Luis González,3,2004,2006,0,291,951,875,100,248,51,3,23,98,5,10,39,157,.283,.321,.427,.749,0.34,"Jun 26, 1979","Apr 6, 2004","Maracay, Aragua",4H5/6973D
Marwin González,11,2012,2022,0,1138,3882,3526,420,888,183,8,107,415,44,28,261,812,.252,.310,.399,.709,14.30,"Mar 14, 1989","Apr 6, 2012","Puerto Ordaz, Bolivar",*63754H9/D81
Miguel González,1,2013,2013,0,5,9,9,0,2,0,0,0,0,0,0,0,3,.222,.222,.222,.444,0.01,"Dec 3, 1990","Sep 10, 2013","Porlamar, Nueva Esparta",/2DH
Wiki González,7,1999,2006,0,295,932,836,75,200,41,3,17,103,3,2,78,112,.239,.310,.356,.666,1.50,"May 17, 1974","Aug 14, 1999","Aragua, Aragua",2H/D1
Beiker Graterol,1,1999,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.26,"Nov 9, 1974","Apr 9, 1999","Barquisimeto, Lara",/1
Brusdar Graterol,5,2019,2023,0,35,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3.41,"Aug 26, 1998","Sep 1, 2019","Calabozo, Guarico",1
Juan Graterol,4,2016,2019,0,67,129,124,10,27,6,0,0,14,0,0,2,20,.218,.227,.266,.493,0.08,"Feb 14, 1989","Sep 2, 2016","Maracay, Aragua",2/H
Mayckol Guaipe,2,2015,2016,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.65,"Aug 11, 1990","Jun 1, 2015","Barcelona, Anzoategui",/1
Deolis Guerra,6,2015,2021,0,19,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.32,"Apr 17, 1989","Jun 27, 2015","San Felix, Bolivar",1
Junior Guerra,7,2015,2021,0,139,106,91,4,13,5,0,0,0,0,0,0,33,.143,.143,.198,.341,5.12,"Jan 16, 1985","Jun 12, 2015","San Felix, Bolivar",1/H
Giomar Guevara,3,1997,1999,0,26,34,29,6,6,4,0,0,2,1,0,4,8,.207,.324,.345,.668,-0.40,"Oct 23, 1972","Sep 19, 1997","Guarenas, Miranda",/64HD
Carlos Guillén,14,1998,2011,3,1305,5277,4673,733,1331,266,51,124,660,74,47,510,804,.285,.355,.443,.798,27.74,"Sep 30, 1975","Sep 6, 1998","Maracay, Aragua",*654D37H
Ozzie Guillén,16,1985,2000,3,1993,7133,6686,773,1764,275,69,28,619,169,108,239,511,.264,.287,.338,.626,21.00,"Jan 20, 1964","Apr 9, 1985","Ocumare del Tuy, Miranda",*6H/534D7
Luis Guillorme,7,2018,2024,0,360,891,782,81,203,38,2,5,53,4,2,97,146,.260,.342,.332,.674,2.79,"Sep 27, 1994","May 11, 2018","Caracas, Distrito Federal",4H56/D1
César Gutiérrez,4,1967,1971,0,223,600,545,61,128,13,6,0,26,7,5,30,51,.235,.277,.281,.558,-1.84,"Jan 26, 1943","Apr 16, 1967","Coro, Falcon",6H/54
Franklin Gutiérrez,12,2005,2017,0,954,3335,3032,394,778,150,9,97,361,78,19,228,736,.257,.311,.408,.719,18.15,"Feb 21, 1983","Aug 31, 2005","Caracas, Distrito Federal",*8*9H7D
J.C. Gutiérrez,6,2007,2014,0,204,8,7,1,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-0.63,"Jul 14, 1983","Aug 19, 2007","Puerto La Cruz, Anzoategui",1
Ángel Guzmán,4,2006,2009,0,88,26,22,0,2,1,0,0,2,0,0,0,7,.091,.091,.136,.227,1.21,"Dec 14, 1981","Apr 26, 2006","Caracas, Distrito Federal",1
Jesús Guzmán,5,2009,2014,0,403,1114,1007,108,249,61,4,25,136,18,5,97,248,.247,.316,.390,.706,1.79,"Jun 14, 1984","May 21, 2009","Cumana, Sucre",3H7/9D45
Óscar Henríquez,3,1997,2002,0,19,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.61,"Jan 28, 1974","Sep 7, 1997","La Guaira, La Guaira",1
Ubaldo Heredia,1,1987,1987,0,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.05,"May 4, 1956","May 12, 1987","Ciudad Bolivar, Bolivar",/1
Remy Hermoso,4,1967,1974,0,91,245,223,25,47,3,1,0,8,6,3,14,21,.211,.259,.233,.493,-0.59,"Oct 1, 1947","Sep 14, 1967","Puerto Cabello, Carabobo",4/H65
Carlos Hernández,10,1990,2000,0,488,1337,1244,102,315,51,1,24,141,5,8,63,196,.253,.298,.354,.651,0.04,"May 24, 1967","Apr 20, 1990","San Felix, Bolivar",*2H/35
Carlos Hernández,5,2020,2024,0,3,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0.24,"Mar 11, 1997","Sep 1, 2020","Ciudad Guayana, Bolivar",1
Carlos Hernández,3,2001,2004,0,37,63,52,3,8,0,0,0,2,0,0,2,17,.154,.185,.154,.339,2.21,"Apr 22, 1980","Aug 18, 2001","Guacara, Carabobo",1/H
Carlos Hernández,2,1999,2000,0,18,16,15,4,2,0,0,0,1,3,2,0,1,.133,.133,.133,.267,-0.24,"Dec 12, 1975","May 26, 1999","Caracas, Distrito Federal",/H456
César Hernández,10,2013,2022,0,1186,4797,4278,590,1144,182,33,71,369,91,40,453,926,.267,.341,.375,.716,13.17,"May 23, 1990","May 29, 2013","Valencia, Carabobo",*4H5/867D
Darwinzon Hernández,4,2019,2022,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.48,"Dec 17, 1996","Apr 23, 2019","Ciudad Bolivar, Bolivar",1
Elieser Hernández,6,2018,2024,0,63,53,44,1,2,0,0,0,0,0,0,1,24,.045,.067,.045,.112,-0.41,"May 3, 1995","May 10, 2018","Ocumare del Tuy, Miranda",1
Enzo Hernández,8,1971,1978,0,714,2612,2327,241,522,66,13,2,113,129,33,189,151,.224,.283,.266,.550,0.40,"Feb 12, 1949","Apr 17, 1971","Valle de Guanape, Anzoategui",*6H/79
Félix Hernández,15,2005,2019,6,22,59,50,3,4,1,0,1,7,0,0,2,22,.080,.115,.160,.275,49.69,"Apr 8, 1986","Aug 4, 2005","Valencia, Carabobo",*1
Gorkys Hernández,6,2012,2019,0,394,1091,988,122,227,44,8,20,81,29,12,79,253,.230,.292,.351,.643,-1.25,"Sep 7, 1987","May 21, 2012","Guiria, Sucre",87H9/D
Leo Hernández,4,1982,1986,0,85,262,248,23,56,8,1,7,30,1,0,13,33,.226,.263,.351,.614,-1.31,"Nov 6, 1959","Sep 19, 1982","Santa Lucia, Miranda",5/DH347
Luis Hernández,5,2007,2012,0,122,292,267,22,65,5,0,3,20,6,2,14,46,.243,.284,.296,.580,-0.11,"Jun 26, 1984","Jul 8, 2007","Quibor, Lara",6/4H5D7
Óscar Hernández,3,2015,2020,0,26,51,46,6,9,1,0,1,2,0,0,3,16,.196,.260,.283,.543,-0.31,"Jul 9, 1993","Jul 12, 2015","Punto Fijo, Falcon",/2HD
Pedro Hernández,3,2012,2014,0,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-1.09,"Apr 12, 1989","Jul 18, 2012","Barquisimeto, Lara",/1
Ramón Hernández,15,1999,2013,1,1526,5701,5105,580,1345,262,8,169,757,9,5,430,734,.263,.327,.417,.744,22.04,"May 20, 1976","Jun 29, 1999","Caracas, Distrito Federal",*2H3/D5
Toby Hernández,1,1984,1984,0,3,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.03,"Nov 30, 1958","Jun 22, 1984","Calabozo, Guarico",/2H
Yoel Hernández,1,2007,2007,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.05,"Apr 15, 1980","May 5, 2007","Ciudad Bolivar, Bolivar",/1
Yonny Hernández,3,2021,2023,0,69,221,189,22,36,6,0,0,10,13,2,21,44,.190,.286,.222,.508,0.84,"May 4, 1998","Aug 5, 2021","Maturin, Monagas",5/4H6D1
Alex Herrera,2,2002,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.03,"Nov 5, 1979","Sep 13, 2002","Maracaibo, Zulia",/1
Jonathan Herrera,7,2008,2015,0,490,1345,1200,136,311,34,10,10,89,18,13,96,196,.259,.316,.329,.645,0.70,"Nov 3, 1984","Apr 30, 2008","Maracaibo, Zulia",46H5/D73
José Herrera,2,2022,2023,0,88,244,212,24,42,7,0,0,12,1,0,22,64,.198,.272,.231,.503,-0.44,"Feb 24, 1997","Apr 9, 2022","San Carlos, Cojedes",2/1HD
José Herrera,4,1967,1970,0,80,244,231,16,61,10,0,2,20,1,4,7,28,.264,.286,.333,.619,0.08,"Apr 8, 1942","Jun 3, 1967","San Lorenzo, Zulia",/7H8945
Odúbel Herrera,7,2015,2022,1,817,3181,2915,376,791,158,19,78,305,68,25,211,663,.271,.326,.419,.745,13.41,"Dec 29, 1991","Apr 6, 2015","San Jose, Anzoategui",*8H7/9
Ronald Herrera,1,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.05,"May 3, 1995","Jun 14, 2017","Maracay, Aragua",/1
Richard Hidalgo,9,1997,2005,0,987,3929,3459,531,929,214,19,171,560,48,34,358,737,.269,.345,.490,.835,19.16,"Jun 28, 1975","Sep 1, 1997","Caracas, Distrito Federal",*9*87H/D
Edwin Hurtado,3,1995,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.84,"Feb 1, 1970","May 22, 1995","Barquisimeto, Lara",1
Edgar Ibarra,1,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.07,"May 31, 1989","Jun 2, 2015","Valencia, Carabobo",/1
Ender Inciarte,9,2014,2022,1,868,3422,3125,447,875,138,28,42,263,118,45,239,447,.280,.333,.382,.715,17.89,"Oct 29, 1990","May 2, 2014","Maracaibo, Zulia",*879H/D
Alexis Infante,4,1987,1990,0,60,62,55,11,6,1,0,0,0,1,0,2,12,.109,.155,.127,.282,-1.05,"Dec 4, 1961","Sep 27, 1987","Barquisimeto, Lara",/H564D
Gregory Infante,3,2010,2018,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.98,"Jul 10, 1987","Sep 7, 2010","Caracas, Distrito Federal",1
Omar Infante,15,2002,2016,1,1507,5698,5271,609,1427,260,53,82,542,80,33,296,776,.271,.308,.387,.695,16.90,"Dec 26, 1981","Sep 7, 2002","Puerto La Cruz, Anzoategui",*465H78/D9
Hernán Iribarren,3,2008,2016,0,48,74,72,8,19,3,3,0,4,1,0,2,19,.264,.284,.389,.673,0.17,"Jun 29, 1984","Apr 12, 2008","Barquisimeto, Lara",H/483957
César Izturis,13,2001,2013,1,1310,4679,4350,441,1103,177,34,17,312,110,53,226,431,.254,.293,.322,.614,6.10,"Feb 10, 1980","Jun 23, 2001","Barquisimeto, Lara",*6H45/D3
Maicer Izturis,11,2004,2014,0,909,3350,3013,406,810,159,17,39,334,93,33,267,355,.269,.331,.372,.703,11.33,"Sep 12, 1980","Aug 27, 2004","Barquisimeto, Lara",*5*46H/D87
César Jiménez,6,2006,2015,0,51,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,1.03,"Nov 12, 1984","Sep 11, 2006","Cumana, Sucre",1
Eduardo Jiménez,1,2019,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.06,"Apr 4, 1995","May 7, 2019","Araya, Sucre",/1
Luis Jiménez,1,2012,2012,0,7,18,17,0,1,0,0,0,0,0,0,1,4,.059,.111,.059,.170,-0.34,"May 7, 1982","Sep 4, 2012","Bobare, Lara",/DH
Jorge Julio,9,2001,2009,0,166,4,2,0,0,0,0,0,0,0,0,2,2,.000,.500,.000,.500,1.54,"Mar 3, 1979","Apr 26, 2001","Caracas, Distrito Federal",*1
Luis Leal,6,1980,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10.56,"Mar 21, 1957","May 25, 1980","Barquisimeto, Lara",1
Wil Ledezma,9,2003,2011,0,89,15,12,2,0,0,0,0,0,0,0,1,6,.000,.077,.000,.077,-1.75,"Jan 21, 1981","Apr 2, 2003","Valle de la Pascua, Guarico",1
Arcenio León,1,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.27,"Sep 22, 1986","May 28, 2017","Maracaibo, Zulia",/1
Danny Leon,1,1992,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.30,"Apr 3, 1967","Jun 6, 1992","La Concepcion, Zulia",/1
Sandy León,12,2012,2023,0,554,1729,1549,158,322,62,2,31,149,1,1,133,455,.208,.276,.311,.586,0.53,"Mar 13, 1989","May 14, 2012","Maracaibo, Zuila",*2H/D153
Felipe Lira,7,1995,2001,0,54,21,19,3,4,0,0,2,3,0,0,0,13,.211,.200,.526,.726,5.16,"Apr 26, 1972","Apr 27, 1995","Santa Teresa del Tuy, Miranda",1/H
Mauricio Llovera,4,2020,2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.32,"Apr 17, 1996","Sep 6, 2020","El Tigre, Anzoategui",1
José Lobatón,10,2009,2021,0,419,1291,1145,110,244,47,4,21,107,0,2,123,298,.213,.291,.316,.607,-0.26,"Oct 21, 1984","Jul 5, 2009","Acarigua, Portuguesa",*2H/D4
José López,9,2004,2012,1,1036,4089,3841,421,1005,215,11,92,480,25,17,150,471,.262,.292,.395,.688,10.03,"Nov 24, 1983","Jul 31, 2004","Barcelona, Anzoategui",*4563HD/9
Pablo López,7,2018,2024,1,52,89,84,4,11,4,0,0,3,0,0,1,44,.131,.141,.179,.320,12.13,"Mar 7, 1996","Jun 30, 2018","Cabimas, Zulia",1/H
Urbano Lugo,6,1985,1990,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.53,"Aug 12, 1962","Apr 28, 1985","Punto Fijo, Falcon",1
Fernando Lunar,3,2000,2002,0,97,257,237,13,53,8,0,0,22,0,2,10,51,.224,.275,.257,.532,-0.20,"May 25, 1977","May 8, 2000","Cantaura, Anzoategui",2/H
Alejandro Machado,1,2005,2005,0,10,6,5,4,1,1,0,0,0,0,0,1,1,.200,.333,.400,.733,0.23,"Apr 26, 1982","Sep 2, 2005","Caracas, Distrito Federal",/H48796
Anderson Machado,3,2003,2005,0,24,81,68,7,15,5,1,0,6,4,1,12,32,.221,.333,.324,.657,-0.26,"Jan 25, 1981","Sep 27, 2003","Caracas, Distrito Federal",/6H
Andrés Machado,4,2017,2023,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.05,"Apr 22, 1993","Sep 2, 2017","Urama, Carabobo",1
Dixon Machado,5,2015,2022,0,177,522,473,45,107,21,2,2,37,3,1,35,96,.226,.285,.292,.577,-0.87,"Feb 22, 1992","May 25, 2015","San Cristobal, Tachira",46/HD5
Julio Machado,3,1989,1991,0,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.56,"Dec 1, 1965","Sep 7, 1989","San Carlos del Zulia, Zulia",1
Robert Machado,9,1996,2004,0,253,694,636,66,146,36,2,11,61,0,0,45,135,.230,.282,.344,.626,0.34,"Jun 3, 1973","Jul 24, 1996","Puerto Cabello, Carabobo",2/H3
Jean Machi,5,2012,2017,0,163,7,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,2.08,"Feb 1, 1982","Sep 3, 2012","El Tigre, Anzoategui",1
Luís Madero,1,2021,2021,0,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.32,"Apr 15, 1997","May 10, 2021","Maracay, Aragua",/1
José Malavé,2,1996,1997,0,45,109,106,12,24,3,0,4,17,0,0,2,27,.226,.248,.368,.616,-0.61,"May 31, 1971","May 23, 1996","Cumana, Sucre",/97H
Carlos Maldonado,4,2006,2012,0,29,74,63,3,10,1,0,3,8,1,0,9,24,.159,.260,.317,.578,-0.08,"Jan 3, 1979","Sep 8, 2006","Maracaibo, Zulia",/2H
Fred Manrique,9,1981,1991,0,498,1459,1337,151,340,59,11,20,151,18,14,65,239,.254,.292,.360,.651,2.58,"Nov 5, 1961","Aug 23, 1981","Ciudad Bolivar, Bolivar",*46H/5D
Tucupita Marcano,3,2021,2023,0,149,447,406,41,88,19,4,5,34,7,4,26,88,.217,.269,.320,.589,-0.93,"Sep 16, 1999","Apr 1, 2021","Tucupita, Delta Amacuro",647H/95D
Rafael Marchán,2,2020,2021,0,23,65,60,10,16,1,1,2,7,0,0,5,12,.267,.323,.417,.740,0.49,"Feb 25, 1999","Sep 14, 2020","San Cristobal, Tachira",/2H3
Germán Márquez,8,2016,2023,1,117,244,212,19,51,11,1,2,30,0,0,0,59,.241,.241,.330,.571,17.57,"Feb 22, 1995","Sep 8, 2016","San Felix, Bolivar",1/H
Gonzalo Márquez,3,1972,1974,0,76,128,115,9,27,3,0,1,10,1,1,7,14,.235,.286,.287,.573,-0.52,"Mar 31, 1940","Aug 11, 1972","Carupano, Sucre",H/34D9
Carlos Martínez,7,1988,1995,0,465,1586,1485,145,383,63,6,25,161,10,10,74,209,.258,.293,.359,.652,-2.36,"Aug 11, 1965","Sep 2, 1988","La Guaira, La Guaira",35DH/7
David Martínez,2,2013,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.36,"Aug 4, 1987","Aug 21, 2013","Cumana, Sucre",/1
José Martínez,5,2016,2020,0,432,1386,1244,170,360,61,3,43,182,7,3,128,274,.289,.356,.447,.803,2.42,"Jul 25, 1988","Sep 6, 2016","La Guaira, La Guaira",93HD7
Víctor Martínez,16,2002,2018,5,1973,8166,7297,914,2153,423,3,246,1178,7,7,730,891,.295,.360,.455,.815,31.96,"Dec 23, 1978","Sep 10, 2002","Ciudad Bolivar, Bolivar",*D*23H
Willie Martínez,1,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.08,"Jan 4, 1978","Jun 14, 2000","Barquisimeto, Lara",/1
Frank Mata,1,2010,2010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.36,"Mar 11, 1984","May 26, 2010","Barcelona, Anzoategui",/1
Luis Matos,2,2023,2024,0,97,342,313,33,76,16,1,4,34,3,0,23,43,.243,.300,.339,.639,-0.49,"Jan 28, 2002","Jun 14, 2023","Valera, Trujillo",8/97HD
Luis Maza,1,2008,2008,0,45,88,79,7,18,1,0,1,4,0,0,5,11,.228,.282,.278,.561,-0.73,"Jun 22, 1980","May 14, 2008","Cumana, Sucre",4/6H
Yoervis Medina,3,2013,2015,0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.82,"Jul 27, 1988","Apr 16, 2013","Puerto Cabello, Carabobo",1
Carlos Méndez,1,2003,2003,0,26,46,45,3,10,2,0,0,5,0,0,0,12,.222,.217,.267,.484,-0.26,"Jun 18, 1974","May 22, 2003","Caracas, Distrito Federal",/H3D
Donaldo Méndez,2,2001,2003,0,72,221,202,21,37,8,1,3,14,2,2,12,69,.183,.245,.277,.523,-1.42,"Jun 7, 1978","Apr 5, 2001","Barquisimeto, Lara",6/H
Yohander Méndez,4,2016,2019,0,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.17,"Jan 17, 1995","Sep 5, 2016","Valencia, Carabobo",/1
Carlos Mendoza,2,1997,2000,0,28,29,22,6,4,0,0,0,1,0,1,5,6,.182,.379,.182,.561,-0.21,"Nov 4, 1974","Sep 3, 1997","Ciudad Bolivar, Bolivar",/H78
José Mijares,6,2008,2013,0,93,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,4.21,"Oct 29, 1984","Sep 13, 2008","Caracas, Distrito Federal",*1
Anthony Molina,1,2024,2024,0,0,0,0,,,,,,,,,,,,,,,-0.38,"Jan 12, 2002","Mar 28, 2024","San Joaquin, Carabobo",/1
Gustavo Molina,4,2007,2011,0,26,51,47,2,6,2,0,0,1,0,0,2,10,.128,.160,.170,.330,-0.68,"Feb 24, 1982","Apr 2, 2007","La Guaira, La Guaira",/2H
Andruw Monasterio,2,2023,2024,0,108,350,312,44,77,14,1,4,30,9,2,33,75,.247,.323,.337,.659,1.48,"May 30, 1997","May 28, 2023","Caracas, Distrito Federal",54/HD67
Carlos Monasterios,1,2010,2010,0,31,18,14,1,1,0,0,0,0,0,0,0,7,.071,.071,.071,.143,0.41,"Mar 21, 1986","Apr 5, 2010","Higuerote, Miranda",1
Jesús Montero,5,2011,2015,0,226,865,806,73,204,31,1,28,104,0,3,48,172,.253,.295,.398,.693,-0.34,"Nov 28, 1989","Sep 1, 2011","Guacara, Carabobo",D2/3H
Keider Montero,1,2024,2024,0,0,0,0,,,,,,,,,,,,,,,-0.12,"Jul 6, 2000","May 29, 2024","Santa Teresa del Tuy, Miranda",/1
Miguel Montero,13,2006,2018,2,1185,4343,3801,458,973,197,7,126,550,5,9,446,881,.256,.340,.411,.751,14.34,"Jul 9, 1983","Sep 6, 2006","Caracas, Distrito Federal",*2H/D13
